,News,Sentiment
193,Wipro launches a new Center of Excellence on Generative Artificial Intelligence (AI) in partnership with the prestigious Indian Institute of Technology (IIT) Delhi,Positive
194,Wipro has been recognized as a Leader by ISG Provider Lens in their Cybersecurity AI Solutions and Services report for Singapore and Malaysia,Positive
195,"Dr. Reddy's Laboratories: Delhi High Court likely has barred Smart Laboratories from using the mark Aziwake, which is similar to Dr Reddy's trademark Aziwok, with or without any prefixes or suffixes",Positive
196,"Dr. Reddy's rolls out Nerivio, a USFDA-approved drug-free non-invasive migraine management device, in India. Nerivio is the first and only USFDA approved device to use Remote Electrical Neuromodulation (REN) to prevent and treat migraine",Positive
197,"Dr. Reddy's Laboratories: USFDA has completed a routine cGMP inspection at its formulations manufacturing facility (FTO-3) in Bachupally, Hyderabad and issued a Form 483 with ten observations",Negative
198,Dr. Reddy's Laboratories Sep 2023 (quarterly) Net Profit 148 crore Vs 111 crore yoy. Revenue 688 crore Vs 631 crore yoy,Positive
199,"Dr. Reddy's Laboratories has announced the launch of its first direct-to-consumer e-commerce website, celevidawellness.com, for diabetes patients, through its wholly-owned subsidiary, Svaas Wellness",Positive
200,Alkem Laboratories likely has settled a trademark suit with Dr. Reddy's Laboratories and other parties related to infringement of the former's trademark PAN-D and PAN family of marks,Positive
201,Dr. Reddy's Laboratorie's manufacturing facility in Bachupally in Hyderabad has received nine observations in Form 483 from the US Food and Drug Administration,Negative
202,"Dr. Reddy's Laboratories, Inc (a wholly-owned subsidiary of Dr. Reddy’s Laboratories), along with several other pharmaceutical companies, was named as a defendant in a complaint filed in the US District Court for the Northern District of California",Negative
203,Dr Reddy's launches Saxagliptin & Metformin Hydrochloride Tablets in the US. It treats high blood sugar levels in patients with type-2 diabetes,Positive
204,"Dr. Reddy's Laboratories has received the United States Food and Drug Administration’s establishment inspection report for its active pharmaceutical ingredients manufacturing facility (CTO 1) in Bollaram, Hyderabad",Positive
205,"Dr Reddy's Lab June 2023 (Quarterly) Income at Rs 6,758 crore vs Rs 5,233 crore YoY. PAT at Rs 1,405 crore vs Rs 1,189 crore YoY",Positive
206,"Dr. Reddy's Lab: USFDA completed a Pre-Approval Inspection (PAI) and a routine GMP inspection at its API manufacturing facility in Srikakulam, Andhra Pradesh. The inspection closed with zero observations and a classification of No Action Indicated",Positive
207,"Dr. Reddy's proposed rituximab biosimilar application accepted for review by USFDA, EMA and MHRA",Positive
208,Dr. Reddy's Laboratories has forayed into the child immunity market,Positive
209,Dr. Reddy's Laboratories Ltd announced its entry into the trade generics business in India with the launch of its new dedicated division,Positive
210,"Dr. Reddy's Laboratories: The US FDA has completed a GMP inspection at its API manufacturing facility in Bollaram, Hyderabad (CTO-3). The inspection was conducted from June 12, 2023 to June 16, 2023. The inspection closed with zero observations",Positive
211,Dr. Reddy's Laboratories gets US FDA nod for Cyclophosphamide,Positive
212,Tata Motors: S&P Global Ratings has upgraded the Long-term issuer credit and issue ratings (Senior Unsecured Notes) to BB+/Positive from BB/Stable,Positive
213,Tata Motors : Moody's has upgraded the corporate family rating of Tata Motors and Jaguar Land Rover while maintaining a positive outlook,Positive
214,"Tata Motors September 2023 (Quarterly) Income at Rs 105,128 crore vs Rs 79,611 crore YoY. PAT at Rs 3,832 crore vs Loss of Rs 898 crore YoY",Positive
215,"Tata Motors Limited sales in the domestic & international market for October 2023 stood at 82,954 vehicles, compared to 78,335 units during October 2022",Positive
216,Tata Motors: An arbitration panel has passed an order in its favour to recover 7.66 billion along with interest from West Bengal Industrial Development Corp Ltd in the Singur-Nano plant case,Positive
217,Tata Motors likely is developing a new petrol powertrain which would be utilised in its premium sports utility vehicles Harrier and Safari,Positive
218,Tata Motors: includes a provision enabling Tata Motors to further invest Rs 100 crore over the next two years - 2/2,Positive
219,Tata Motors and Freight Commerce Solutions Pvt Ltd has signed a Securities Subscription Agreement (SSA) and a Shareholders Agreement (SHA) for the acquisition of 26.79% stake in ‘Freight Tiger’ for a consideration of Rs 150 crores. The SSA also - 1/2,Positive
220,"Tata Motors likely is developing a petrol engine for its premium sport utility vehicle, as the diesel fuel options are not being received well by the consumers as well as the government.",Positive
221,Tata Motors subsidiary Jaguar Land Rover Automotive Plc has received till Oct 13 an offer to buyback $399.54 million senior notes,Neutral
222,"Tata Motors has entered into Share Purchase Agreements with certain investors for sale of 9.9% stake in Tata Technologies Limited (a subsidiary of the Company) for an aggregate consideration of Rs 1,613.7 crore",Positive
223,"Tata Motors likely is on-track to sell about 100,000 electric passenger cars during the current fiscal year",Positive
224,"Tata Motors likely opened bookings for the Harrier and Safari facelifts at 25,000, at its authorised dealerships and on its website",Neutral
225,"Tata Motors- JLR update: Wholesales in Q2 FY24 were 96,817 units, up 29% vs. Q2 FY23 and up 4% vs. Q1 FY24. Retail sales in Q2 FY24 were 106,561, up 21% vs. Q2 FY23 and up 4% vs. Q1 FY24",Positive
226,"Tata Motors September UK JLR sales up 27.5% at 8,125 units vs 6,370 units (YoY)",Positive
227,"TML Holdings Pte Limited (‘THPL’), a wholly owned subsidiary of Tata Motors, has entered into an agreement for sale of its entire shareholding of 60% in Tata Motors (SA) (Pty) Limited to Tata Africa Holdings (SA) Proprietary Limited",Neutral
228,"Tata Motors: Total domestic sales in September at 82,023 units vs 80,633 units YoY",Positive
229,"Tata Motors has announced that it will increase prices of its vehicles, effective 1 October 2023, up to 3%",Neutral
230,Tata Motors: Jaguar Land Rover is closely monitoring the demand for battery electric vehicles in India and planning to strategise the entry of more models into the country depending on the emerging scenario,Positive
231,"Tata Power September 2023 (Quarterly) Income at Rs 15,738 crore vs Rs 14,031 crore YoY. PAT at Rs 1017 crore vs Rs 935 crore YoY",Positive
232,"Maharashtra Pollution Control Board said it has asked the HPCL, Tata Power and a few other companies to cut down their production by 50% to curb pollution.",Negative
233,"Tata Power Renewable Energy Limited signed a Power Delivery Agreement with Mukand Limited, a Bajaj Group company for a 43.75 MW AC Group Captive Solar project",Positive
234,Tata Power Renewable Energy Ltd has signed a Power Delivery Agreement (PDA) with Supreme Petrochem Ltd for a 12.5 MW group captive project through a SPV - TP Saturn Limited. The plant will generate around 27.5 million units of renewable power annually,Positive
235,"Tata Power Renewable has signed a Power Delivery Agreement (PDA) with Endurance Technologies Ltd, through a special purpose vehicle (SPV) TP Green Nature Ltd, for the development of 12.5MW AC Captive Solar Plant",Positive
236,"Tata Power Renewable Energy Limited (TPREL), a subsidiary of The Tata Power Company Limited, will set up a 41 MW captive solar plant at Thoothukudi, Tamil Nadu for TP Solar Limited",Positive
237,"Tata Power Renewable Energy Ltd, a subsidiary of Tata Power, has signed a Power Delivery Agreement (PDA) with Xpro India Ltd, through a special purpose vehicle (SPV), for the development of a 3.125 MW AC Group Captive Solar Plant",Positive
238,Tata Power: Tata Power Solar Systems Ltd signed a Memorandum of Understanding (MoU) with Small Industries Development Bank of India to offer easy financing to MSMEs for solar adoption,Positive
239,"Tata Power: The U.S. International Development Finance Corporation’s (DFC) Board of Directors approved the provision of up to USD 425 million in financing in TP Solar Limited, a subsidiary of Tata Power Renewable Energy Limited (TPREL), for its -1/2",Positive
240,"Tata Power: upcoming greenfield 4.3 GW solar cell and module manufacturing plant at Tirunelveli district in Tamil Nadu, India -2/2",Positive
241,"Tata Motors partners with Tata Power Renewable Energy Ltd, a subsidiary of Tata Power Ltd, to develop a 12 MWp solar project at its Pune manufacturing facility",Positive
242,"Tata Power Renewable Energy Ltd, a subsidiary of Tata Power Company Ltd signed Power Delivery Agreement (PDA) with Neosym Industry Ltd for 26 MW AC Group Captive Solar plant",Positive
243,"Tata Power Renewable Energy Ltd (TPREL), a subsidiary of Tata Power, signed a PDA (Power Delivery Agreement) of Group Captive Project for 6 MW AC with Chalet Hotels Ltd",Positive
244,"Tata Power group Company and Zoomcar have entered into a Memorandum of Understanding (MoU) to promote widespread electric vehicle adoption and delivera seamless, user-friendly charging experience to EV users nationwide",Positive
245,"Tata Power Renewable Energy Ltd, a subsidiary of Tata Power, signed a Power Purchase Agreement (PPA) for 9MWp on campus solar plant with Tata Motors Ltd for Pantnagar plant in Uttarakhand",Positive
246,"Tata Power June 2023 (Quarterly) Income at Rs 15,213 crore vs Rs 14,495 crore YoY. PAT at Rs 1,141 crore vs Rs 884 crore YoY",Positive
247,Tata Power Renewable Energy Limited signs Power Purchase Agreements (PPAs) with MSEDCL for 200 MW and 150 MW Solar Projects,Positive
248,"Tata Power receives order worth Rs 1,744 crore to implement Smart metering project in Chhattisgarh State Power Distribution Company Limited",Positive
249,"Tata Power Company likely planning to raise up to 25 billion by selling some of its assets overseas, including hydro assets in Zambia, and two coal mines in Indonesia",Negative
250,TCS: IT workers' union Nascent Information Technology Employees Senate likely has approached the Ministry of Labour and Employment against the alleged unethical transfer practices of Tata Consultancy Services,Negative
251,Tata Consultancy Services: Munch Museum Partners with TCS to create Pioneering Immersive and AI-driven Drawing Experience,Positive
252,Tata Consultancy Services has transformed VIAVI Solutions' open radio access network testing solutions that enable device manufacturers and others to launch fifth-generation innovations faster,Positive
253,Tata Consultancy Services has helped VIAVI Solutions transform its 5G O-RAN (Open Radio Access Network) test solutions that enable device manufacturers and others to launch 5G innovations faster,Positive
254,Tata Consultancy Services has received a notice from the Maharashtra government's Ministry of Labour & Employment regarding the company's delay in onboarding lateral recruits,Negative
255,Tejas Networks bags an order of Rs 108 crore from TCS for supply of equipment for BSNL’s Pan-India 4G/5G network,Positive
256,Tata Consultancy Services has been rated number one in the 2023 Engineering Service Provider of the Year awards by Everest Group. TCS received this recognition for the second consecutive year,Positive
257,"Tata Consultancy Services has concluded its investigation into the preferential recruitment allegations and has fired 16 employees, and taken action against three other employees and six staffing firms",Negative
258,"TCS: The Board has approved a proposal to buyback up to 4,09,63,855 Equity Shares of the Company for an aggregate amount not exceeding Rs 17,000 crore at Rs 4,150 per Equity Share",Positive
259,"TCS Q2FY24 PAT at Rs 11,380 crore vs Rs 10,465 crore YoY. Revenue at Rs 59,692 crore vs Rs 55,309 crore YoY",Positive
260,Tata Consultancy Services has been named a Leader in the Everest Group PEAK Matrix for 5G Engineering Services,Positive
261,Tata Consultancy Services has been positioned as a Leader in Everest Group's PEAK Matrix for Net Zero Consulting Services,Positive
262,Tata Consultancy Services: The Board would consider a proposal for buyback of equity shares of the company on 11th October,Positive
263,Tata Consultancy Services won a deal from the labour department of the US state of Georgia to replace its 1980s-era legacy platform with a scalable cloud-based unemployment insurance system that streamlines the claims process,Positive
264,Tata Consultancy Services has been positioned as a Market Leader (Horizon 3) in the HFS Horizons for Supply Chain Service Providers,Positive
